,support,itemsets
0,0.4991141986981707,frozenset({356})
1,0.4495192786193443,frozenset({593})
2,0.42304476780062505,frozenset({260})
3,0.3675030356112029,frozenset({527})
4,0.35905308836116806,frozenset({1196})
5,0.34577104524553615,frozenset({110})
6,0.3358878913947887,frozenset({1210})
7,0.30793538626908457,frozenset({1270})
8,0.2904632044110914,frozenset({2028})
9,0.28878615363178534,frozenset({608})
10,0.27507116268885484,frozenset({32})
11,0.23367736926966182,frozenset({1197})
12,0.23144296036785636,frozenset({1136})
13,0.2303531261818978,frozenset({541})
14,0.22775543921810618,frozenset({1721})
15,0.21453808945597866,frozenset({1221})
16,0.2090242251726815,frozenset({1213})
17,0.1939158389235026,frozenset({2329})
18,0.19331369309473098,frozenset({1200})
19,0.18237056352887315,frozenset({111})
20,0.1799022632720903,frozenset({2997})
21,0.17899655632302885,frozenset({34})
22,0.16762047892987242,frozenset({2918})
23,0.16563489061846845,frozenset({1961})
24,0.16182295917351752,frozenset({1208})
25,0.1601906961004837,frozenset({912})
26,0.14839162370364473,frozenset({2324})
27,0.14764516193244023,frozenset({1968})
28,0.14643589386308895,frozenset({1923})
29,0.14098174652148815,frozenset({2502})
30,0.13887174791488346,frozenset({223})
31,0.1369209944861357,frozenset({2396})
32,0.1361894619503553,frozenset({1259})
33,0.13581623106475307,frozenset({1080})
34,0.1352389672950216,frozenset({1784})
35,0.13415410952087106,frozenset({1653})
36,0.12575392638891653,frozenset({161})
37,0.12434062543543603,frozenset({1225})
38,0.11951350598164699,frozenset({2797})
39,0.11405935864004618,frozenset({923})
40,0.11209367597587436,frozenset({25})
41,0.11106853514342019,frozenset({1247})
42,0.11073013914047415,frozenset({17})
43,0.10879929135895854,frozenset({1203})
44,0.10828174453092343,frozenset({36})
45,0.5122170909887135,frozenset({318})
46,0.4897237096164182,frozenset({296})
47,0.28401875111969266,frozenset({457})
48,0.25637478352608634,frozenset({364})
49,0.2510201644206461,frozenset({588})
50,0.2477705675100026,frozenset({592})
51,0.23493640145709338,frozenset({377})
52,0.23462786392499552,frozenset({380})
53,0.21263212373350318,frozenset({344})
54,0.2057348169675737,frozenset({595})
55,0.19555307840834446,frozenset({500})
56,0.19502060234488525,frozenset({597})
57,0.18314190735911778,frozenset({231})
58,0.17560761988176046,frozenset({153})
59,0.1724227163246213,frozenset({586})
60,0.16114616716762545,frozenset({587})
61,0.15988713498019388,frozenset({539})
62,0.1580309333757987,frozenset({253})
63,0.15576168959133707,frozenset({349})
64,0.15235782391464459,frozenset({39})
65,0.15084499472500348,frozenset({357})
66,0.13547783506180702,frozenset({454})
67,0.1297897963652288,frozenset({551})
68,0.1277395147003205,frozenset({185})
69,0.12411171049226666,frozenset({339})
70,0.11401954734558194,frozenset({508})
71,0.10234986165575173,frozenset({594})
72,0.37439038955351633,frozenset({480})
73,0.34030196866851126,frozenset({589})
74,0.3354499671556821,frozenset({1198})
75,0.3306328005255091,frozenset({858})
76,0.3242530405876147,frozenset({2858})
77,0.2858898819595119,frozenset({3578})
78,0.2847701893027052,frozenset({780})
79,0.27838047654119474,frozenset({150})
80,0.2729263291995939,frozenset({4306})
81,0.24246073611083466,frozenset({6539})
82,0.23275175667336823,frozenset({590})
83,0.22909409399446623,frozenset({4886})
84,0.21338356191651572,frozenset({648})
85,0.20472460537054363,frozenset({4995})
86,0.20071859386507954,frozenset({3793})
87,0.19909130720385373,frozenset({367})
88,0.19222385890877242,frozenset({5349})
89,0.17524434181977427,frozenset({316})
90,0.1733035412146426,frozenset({4896})
91,0.16210661464657522,frozenset({1073})
92,0.16160399705396422,frozenset({10})
93,0.160240460218564,frozenset({4022})
94,0.15590600553376993,frozenset({208})
95,0.14879471306009515,frozenset({5816})
96,0.14847124629257322,frozenset({6365})
97,0.14383820689929733,frozenset({2})
98,0.13820988514441548,frozenset({329})
99,0.13272587933196647,frozenset({1917})
100,0.13021279136891137,frozenset({2012})
101,0.12886916018074326,frozenset({1584})
102,0.12823715588112347,frozenset({434})
103,0.12281784342217887,frozenset({6333})
104,0.11977227939566455,frozenset({1101})
105,0.11945876545175867,frozenset({5218})
106,0.11717459243187292,frozenset({141})
107,0.11409419352270239,frozenset({2617})
108,0.11184485538547285,frozenset({1485})
109,0.11074506837589825,frozenset({3623})
110,0.1037581861974242,frozenset({442})
111,0.1024941775981846,frozenset({62})
112,0.10045384875689232,frozenset({7143})
113,0.14577900750442901,frozenset({2115})
114,0.14475884308378287,frozenset({2683})
115,0.11336266098692199,frozenset({2710})
116,0.31499691462467905,frozenset({47})
117,0.19153213766745625,frozenset({165})
118,0.13875729044329876,frozenset({292})
119,0.1317355733821685,frozenset({288})
120,0.10035432052073173,frozenset({410})
121,0.36388518422676513,frozenset({4993})
122,0.191323128371519,frozenset({5445})
123,0.18896928558632084,frozenset({2628})
124,0.18656070227123434,frozenset({5418})
125,0.10385771443358481,frozenset({2700})
126,0.12365885701773593,frozenset({19})
127,0.12355932878157533,frozenset({21})
128,0.38483587793857116,frozenset({2959})
129,0.2952704182176483,frozenset({58559})
130,0.28828851245098236,frozenset({79132})
131,0.2670243047952704,frozenset({4226})
132,0.22110197663077014,frozenset({7361})
133,0.1808875928100802,frozenset({1732})
134,0.16177817146724527,frozenset({4011})
135,0.13627406095109182,frozenset({55820})
136,0.12783406652467305,frozenset({6016})
137,0.11287994904154308,frozenset({5995})
138,0.10644544857376037,frozenset({6502})
139,0.10072257499452594,frozenset({3481})
140,0.3371518999940283,frozenset({50})
141,0.2176184883651492,frozenset({1089})
142,0.2162698807651731,frozenset({4973})
143,0.20824292851882079,frozenset({293})
144,0.20511276549156995,frozenset({4963})
145,0.13074526743237055,frozenset({6711})
146,0.12019029798753907,frozenset({2542})
147,0.11955331727611124,frozenset({3897})
148,0.11251667097955691,frozenset({1079})
149,0.10130481517606545,frozenset({4979})
150,0.4668272388876724,frozenset({2571})
151,0.34335748551864165,frozenset({1})
152,0.3357236698051237,frozenset({5952})
153,0.3356540000398113,frozenset({7153})
154,0.2837052371757868,frozenset({2762})
155,0.24102752951012202,frozenset({1580})
156,0.234543264924259,frozenset({1240})
157,0.23091048430439715,frozenset({1291})
158,0.22955192388080498,frozenset({6377})
159,0.22669048709118778,frozenset({1036})
160,0.22498855425284153,frozenset({1214})
161,0.22461034695543125,frozenset({6874})
162,0.21965881720644148,frozenset({1682})
163,0.207446702629536,frozenset({33794})
164,0.20196767322889503,frozenset({1097})
165,0.20179349881561398,frozenset({1527})
166,0.19902163743854132,frozenset({60069})
167,0.19234826920397316,frozenset({5989})
168,0.1922885522622768,frozenset({1258})
169,0.19043235065788164,frozenset({2716})
170,0.18562513685132473,frozenset({7438})
171,0.18413221330891574,frozenset({733})
172,0.18322152994804627,frozenset({1206})
173,0.18147978581523577,frozenset({59315})
174,0.18105181439974521,frozenset({68954})
175,0.17574198300057725,frozenset({736})
176,0.1756822660588809,frozenset({778})
177,0.1753488464677429,frozenset({48516})
178,0.17503533252383702,frozenset({44191})
179,0.17438839898879313,frozenset({72998})
180,0.17361705515854847,frozenset({68157})
181,0.1640474152517069,frozenset({48780})
182,0.1633805760694309,frozenset({1617})
183,0.1594591635647033,frozenset({99114})
184,0.15639369389095686,frozenset({8368})
185,0.15112865019806118,frozenset({91529})
186,0.14689870016123574,frozenset({2706})
187,0.14563469156199613,frozenset({1387})
188,0.145609809502956,frozenset({919})
189,0.14479367796643908,frozenset({74458})
190,0.1427682783605709,frozenset({2291})
191,0.14051396381153333,frozenset({2011})
192,0.13941417680195872,frozenset({32587})
193,0.13779186655254094,frozenset({49272})
194,0.13729422537173797,frozenset({1517})
195,0.13642832971714075,frozenset({5378})
196,0.13449748193562513,frozenset({1219})
197,0.13430837828692,frozenset({8636})
198,0.13396500587216592,frozenset({2916})
199,0.13178533750024882,frozenset({112852})
200,0.1309542767283078,frozenset({89745})
201,0.1306706212552501,frozenset({48394})
202,0.13043672990027272,frozenset({40815})
203,0.12989430101319743,frozenset({8360})
204,0.12857057547226147,frozenset({8665})
205,0.12625156756971953,frozenset({3948})
206,0.12409180484503454,frozenset({2791})
207,0.12357923442880746,frozenset({51662})
208,0.1234548241336067,frozenset({70286})
209,0.12328064972032565,frozenset({33493})
210,0.11990166610267333,frozenset({56367})
211,0.11962796345323168,frozenset({1220})
212,0.11881183191671477,frozenset({1573})
213,0.11793598343850151,frozenset({6934})
214,0.11635846089535601,frozenset({8644})
215,0.11630869677727572,frozenset({69122})
216,0.11518900412046898,frozenset({122904})
217,0.11041662519656827,frozenset({1356})
218,0.11023747437147918,frozenset({2000})
219,0.10958556442462726,frozenset({788})
220,0.107714433584808,frozenset({3408})
221,0.1068983020482911,frozenset({45722})
222,0.10645540139737644,frozenset({3977})
223,0.10607221768815812,frozenset({122882})
224,0.10564424627266755,frozenset({68358})
225,0.10486792603061489,frozenset({54001})
226,0.10409160578856222,frozenset({3994})
227,0.10370344566753588,frozenset({7254})
228,0.1034745307243665,frozenset({1391})
229,0.10338993172363,frozenset({3527})
230,0.10292214901367518,frozenset({1954})
231,0.10159344706093118,frozenset({56174})
232,0.1012799331170253,frozenset({73017})
233,0.10109580588012819,frozenset({91500})
234,0.10089177299599897,frozenset({81845})
235,0.10032446204988356,frozenset({112556})
236,0.10022991022553099,frozenset({6373})
237,0.10003085375320979,frozenset({3052})
238,0.14675438421880288,frozenset({6})
239,0.11523379182674125,frozenset({95})
240,0.11427334434779148,frozenset({104})
241,0.2529211537313136,frozenset({1704})
242,0.13616457989131517,frozenset({1307})
243,0.19390588609988654,frozenset({3147})
244,0.13047654119473695,frozenset({1610})
245,0.11600015924517786,frozenset({1625})
246,0.12811772199773075,frozenset({63082})
247,0.12469395067380616,frozenset({46578})
248,0.12282281983398691,frozenset({2174})
249,0.23146286601508848,frozenset({1265})
250,0.18490853355096842,frozenset({109487})
251,0.13403467563747834,frozenset({54286})
252,0.13393514740131776,frozenset({8874})
253,0.13367139757549218,frozenset({106782})
254,0.12172303282441228,frozenset({116797})
255,0.10617174592431873,frozenset({80463})
256,0.1029420546609073,frozenset({48774})
257,0.1788223819097478,frozenset({924})
258,0.16592849891514222,frozenset({3996})
259,0.16337559965762286,frozenset({750})
